char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
㚇|zong1|draw the feet up; to refuse to advance, to summarize; to gather; to collect, name of an old country, (same as U+9350 鍐) a headstall; ornament on a bridle; (Cant.) to jump up|||||||9||UCHE|山金竹水|20869.070||320 523A|35|||||
㨖|zhi4|to stab, to rob of money; to rob of riches, to go nonstop to, to cluster together; to mass; (Cant.) to squeeze in|||||||12||QMGK|手一土大|31931.020|||64|||||
㫚|hu1|early morning, daylight|||昒||||8||PHA|心竹日|21493.030|0492.020||72|||||
㬹|zheng1|tendons of the heel of the foot; (Cant.) elbow, heel|||踭||||12||BBSD|月月尸木|32089.050|||130|||||
䂑|ji1|short; (Cant.) intensifier|||||||10||OKYMP|人大卜一心|42583.160|0824.150||111|||||
䍇|ta4|flat-bottom crock (with narrow opening); jug, pitcher, vase, etc; (Cant.) stool|||||||11||OUHIO|人山竹戈人|52935.110|||121|||||
䧹|ying1|(same as U+9DF9 鷹) hawk; eagle; falcon|||||||13||IOOG|戈人人土|64098.040||957 1581|172|||||
䳭|ji2|wagtail|||||||20||AISLF|日戈尸中火|74647.080||165|196|||||
䵠|di2|rushes used form making mats, face decorations (for women), to ornament on the face of a woman|||||||17||WFPI|田火心戈|74744.050|||203|||||
一|yi1|one; a, an; alone|||弌壹|壹|1||1|1000.0|M|一|10001.010|0075.010|1499|1|1|1|one|1|one
丁|ding1|male adult; robust, vigorous; 4th heavenly stem|||||4||2|1020.0|MN|一弓|10002.050|0075.030|1340|1|6|86|fourth|90|fourth
丂|kao3|obstruction of breath (qi) as it seeks release; variant of other characters|||||||2||MVS|一女尸|10004.010|0075.050|424|1|||||
七|qi1|seven|||柒|柒|3||2|4071.0|JU|十山|10003.030|0075.070|75|1|1|7|seven|7|seven
丄|shang4|above|||||||2||LM|中一|10003.010|0076.010||1|||||
丅|xia4|under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T'|||||||2||XML|難一中|10002.040|0076.020||1|||||
丆|han3|kwukyel|||||||2||XMH|難一竹|10003.021|0076.021||1|||||
万|wan mò4|ten thousand; innumerable||萬|卍萬||||3|1022.7|MS|一尸|10009.030|0076.030|866|1|3|||65|ten thousand
丈|zhang4|unit of length equal 3.3 meters; gentleman, man, husband|||||4||3|5000.0|JK|十大|10009.020|0076.040|116|1|2|776|100 Chinese Inches|837|100 Chinese inches
三|san1|three|||叁|叁|2||3|1010.1|MMM|一一一|10004.030|0076.050|1100|1|1|3|three|3|three
上|shang4|top; superior, highest; go up, send up|||||1||3|2110.0|YM|卜一|10005.040|0076.070|1160 1166|1|1|44|above|45|above
